directory_category,directory_contact__email,directory_contact__fax,directory_contact__mobile,directory_contact__phone,directory_contact__website,content_body,directory_location__street,directory_location__city,directory_location__country,directory_location__address,directory_location__lat,directory_location__lng,directory_location__zip,directory_location__state,content_post_title,directory_social__facebook,content_post_status,field_contact_name
community-farm,amy.cavicchia@coryfoundation.org,,,(412) 329-8247,https://coraopolisfoundation.org/community-garden/,"",411 Broadway Avenue,Coraopolis,US,411 Broadway Avenue Coraopolis PA 15108,40.516753,-80.160618,15108,Pennsylvania,Coraopolis Community Garden,,published,Amy Cavvichia
community-farm,craftoncommunityfarm@gmail.com,,,412) 921-0752,https://www.facebook.com/craftoncommunityfarm,"",117 West Steuben Street,Crafton,US,117 West Steuben Street Crafton PA 15205,40.438964,-80.072817,15205,Pennsylvania,Crafton Community Farm,,published,Andrea Marquis
community-farm,mcronin@chscorp.org,,,,,"",370 Lawn Street,Pittsburgh,US,370 Lawn Street Pittsburgh PA 15213,40.433691,-79.961356,15213,Pennsylvania,Community Human Services Teaching Garden,,published,Mel Cronin
community-farm,,,,,https://www.facebook.com/LandslideCommunityFarm,"",3 Beelen Street,Pittsburgh,US,3 Beelen Street Pittsburgh PA 15213,40.43816,-79.97244,15213,Pennsylvania,Landslide Community Farm,,published,Ben Barson
community-farm,aacrawford@nhco.org,,,412 307 0069 x 3311,https://nhco.org/garden/,"",119 Davis Ave,Bellevue,US,119 Davis Ave Pittsburgh PA 15202,40.48879,-80.049169,15202,Pennsylvania,Rosalinda Sauro Sirianni Memorial Garden,,published,Alyssa Crawford
community-farm,secondpresbyterian@me.com,,,412 242 4430,https://www.secondup.net,"",300 Hay Street,Pittsburgh,US,300 Hay Street Pittsburgh PA 15221,40.438825,-79.888431,15221,Pennsylvania,Second UP Garden,,published,Rev. Deborah Warren
community-farm,Barbarabrewton@verizon.net,,,(412) 692 5315,,"",222 Robinson Street,Pittsburgh,US,222 Robinson Street Pittsburgh PA 15213,40.441165,-79.965404,15213,Pennsylvania,Earl Brooks Community Garden,,published,Barbara Brewton
community-farm,john@pghopendoor.org,,,4129797764,http://garfieldfarm.com,"",527 Edlam Way,Pittsburgh,US,527 Edlam Way Pittsburgh PA 15224,40.469378,-79.935125,15224,Pennsylvania,Garfield Community Farm,,published,John Creasy
community-farm,imgp@yahoo.com,,,4125270538,http://www.ballfieldfarm.com,"",Crispen Street,Pittsburgh,US,Crispen Street Pittsburgh PA 15214,40.46849,-80.016561,15214,Pennsylvania,Ballfield Farm,,published,Gavin Deming
community-farm,,,,,http://www.ymcaofpittsburgh.org/gardens/,"",600 West North Avenue,Pittsburgh,US,600 West North Avenue Pittsburgh PA 15212,40.454624,-80.012922,15212,Pennsylvania,BOXY CAUFIELD MEMORIAL GARDEN: Allegheny YMCA,,published,
community-farm,garden@hazelwoodinitiative.org,,,,http://www.hazelwoodinitiative.org/page14.html,"",4713 Chatsworth Avenue,Pittsburgh,US,4713 Chatsworth Avenue Pittsburgh PA 15207,40.413082,-79.944132,15207,Pennsylvania,Hazelwood Community Garden,,published,Matt Peters
community-farm,hmosca@ymcapgh.org,,,847.404.3347,http://www.ymcapgh.org,"",7140 Bennett Street,Pittsburgh,US,7140 Bennett Street Pittsburgh PA 15208,40.456529,-79.898291,15208,Pennsylvania,Miss Mary's Garden : Homewood Brushton YMCA,,published,Hanna Mosca
community-farm,pittfarmcrew@werepair.org,,,,http://werepair.org/category/pittsburgh/,"",310 Sheridan Ave,Pittsburgh,US,"310 Sheridan Ave, Pittsburgh, PA 15206, United States",40.463474,-79.921924,15206,PA,Sheridan Avenue Orchard,,published,Annie Dunn
community-farm,dwilliams@ymcapgh.org,,412-969-8689,412-567-1256 x0306,http://www.ymcapgh.org,"",2621 Centre Avenue,Pittsburgh,US,2621 Centre Avenue,40.447201,-79.967894,15219,Pennsylvania,Centre Ave YMCA Garden,,published,Douglas Williams
school-garden,mandy.hamilton@gmail.com,,,,,"",803 McGovern Road,Houston,US,803 McGovern Road  Houston PA 15342,40.231664,-80.226758,15342,Pennsylvania,Allison Park Elementary Community Garden,,published,Amanda Hamilton
school-garden,sapplegate@avonworth.k12.pa.us,,,,http://www.avonworthplants.weebly.com,"",258 Joseph's Lane,Pittsburgh,US,258 Joseph's Lane  Pittsburgh PA 15237,40.532346,-80.078434,15237,Pennsylvania,Avonworth Middle School,,published,Sheila Applegate
community-garden,borland.green.info@gmail.com,,,412 361 1581,http://www.borlandgreen.com,"",5806 Black Street,Pittsburgh,US,5806 Black Street,40.467393,-79.924427,15206,Pennsylvania,Borland Green Cooperative,,published,
school-garden,esy@growpittsburgh.org,,,,,"",301 Franklin Avenue,Carnegie,US,301 Franklin Avenue  Carnegie PA 15106,40.401334,-80.081874,15106,Pennsylvania,Carnegie Elementary School,,published,Jake Seltman
school-garden,esy@growpittsburgh.org,,,,,"",501 Waddell Avenue,Clairton,US,501 Waddell Avenue  Clairton PA 15025,40.294148,-79.885294,15025,Pennsylvania,Clairton Education Center,,published,Jake Seltman
school-garden,paul@growpittsburgh.org,,,,http://edibleschoolyardpgh.org,"",2332 Beechwood Blvd,Pittsburgh,US,2332 Beechwood Blvd  Pittsburgh PA 15217,40.433127,-79.915417,15217,Pennsylvania,Colfax Elementary,,published,
school-garden,,,,,,"",6424 Forward Avenue,Pittsburgh,US,6424 Forward Avenue  Pittsburgh PA 15217,40.427442,-79.917825,15217,Pennsylvania,Community Day School of Pittsburgh,,published,
school-garden,molly@growpittsburgh.org,,,,,"",6200 Stanton Avenue,Pittsburgh,US,6200 Stanton Avenue  Pittsburgh PA 15206,40.468805,-79.917808,15206,Pennsylvania,Dilworth Traditional Academy,,published,Molly McHolme
school-garden,vandorenm@flbapps.net,,,,,"",865 Cherry Street,Waterford,US,865 Cherry Street  Waterford PA 16441,41.951436,-79.986455,16441,Pennsylvania,Fort LeBoeuf Middle School,,published,Mr. Marc Van Doren
school-garden,gfleckenstein@efsd.net,,,,,"",1101 Greenock Buena Vista Road,McKeesport,US,1101 Greenock Buena Vista Road  McKeesport PA 15135,40.311881,-79.8029,15135,Pennsylvania,Greenock Elementary School,,published,Gail Fleckenstein
school-garden,khall@iroquois.iu5.org,,,,http://www.isd.iu5.org,"",4231 Morse St.,Erie,US,4231 Morse St.  Erie PA 16511,42.153881,-80.012094,16511,Pennsylvania,Iroquois Elementary School,,published,Katherine Hall
school-garden,kmartin@allegheny.edu,,,,http://farmmeadville.com/directory/community gardens/community garden at the marc/,"",800 Thurston Road,Meadville,US,800 Thurston Road  Meadville PA 16335,41.633276,-80.124376,16335,Pennsylvania,MAMS Community Garden,,published,Kerstin Martin
school-garden,,,,,,"",220 40th Street,Pittsburgh,US,220 40th Street  Pittsburgh PA 15201,40.467734,-79.962522,15201,Pennsylvania,Pittsburgh Arsenal,,published,
school-garden,,,,,,"",2940 Sheraden Blvd,Pittsburgh,US,2940 Sheraden Blvd  Pittsburgh PA 15204,40.453644,-80.054031,15204,Pennsylvania,Pittsburgh Langley,,published,
school-garden,pomona.valero@gmail.com,,,,http://pghlindenpta.wordpress.com,"",725 S Linden Avenue,Pittsburgh,US,725 S Linden Avenue  Pittsburgh PA ,40.445514,-79.916283,15208,Pennsylvania,Pittsburgh Linden School Garden,,published,Pomona Valero
school-garden,rmuchow1@pghboe.net,,,,,"",2055 Bedford Avenue,Pittsburgh,US,2055 Bedford Avenue  Pittsburgh PA 15219,40.447077,-79.981061,15219,Pennsylvania,Pittsburgh Miller African Centered Academy,,published,Bob Muchow
school-garden,courtney@growpittsburgh.org,,,,,"",201 S Graham Street,Pittsburgh,US,201 S Graham Street  Pittsburgh PA 15206,40.462489,-79.935596,15206,Pennsylvania,Pittsburgh Montessori PreK 5,,published,Courtney Thrall
school-garden,,,,,,"",107 Thackeray Avenue,Pittsburgh,US,107 Thackeray Avenue  Pittsburgh PA 15260,40.443627,-79.957411,15260,Pennsylvania,Pittsburgh Science and Technology,,published,
school-garden,suzie.salo@gmail.com,,,,http://pucs.org,"",809 Center Street,Pittsburgh,US,809 Center Street  Pittsburgh PA 15221,40.441483,-79.882937,15221,Pennsylvania,Pittsburgh Urban Christian School,,published,Suzie Salo
school-garden,esy@growpittsburgh.org,,,,,"",129 E 10th Ave,Homestead,US,129 E 10th Ave  Homestead PA 15120,40.405408,-79.910342,15120,Pennsylvania,Propel Homestead,,published,Jake Seltman
school-garden,tinanussbaumwagler@shadysideacademy.org,,,,http://www.shadysideacademy.org/ssafarm,"",400 S. Braddock,Pittsburgh,US,400 S. Braddock  Pittsburgh PA 15221,40.444237,-79.897476,15221,Pennsylvania,SSA Farm at the Junior School,,published,Tina Nussbaum Wagler
school-garden,tinanussbaumwagler@shadysideacademy.org,,,,http://www.shadysideacademy.org/ssafarm,"",500 Squaw Run Rd East,Pittsburgh,US,500 Squaw Run Rd East  Pittsburgh PA 15238,40.52817,-79.880648,15238,Pennsylvania,SSA Farm at the Middle School,,published,Tina Nussbaum Wagler
school-garden,tinanussbaumwagler@shadysideacademy.org,,,,http://www.shadysideacademy.org/ssafarm,"",423 Fox Chapel Rd,Pittsburgh,US,423 Fox Chapel Rd  Pittsburgh PA 15238,40.52247,-79.882689,15238,Pennsylvania,SSA Farm at the Senior School,,published,Tina Nussbaum Wagler
school-garden,,,,,,School Garden located on a school site or farmed with a school's involvement. <br>,414 Orchard Place,Pittsburgh,US,414 Orchard Place  Pittsburgh PA 15210,40.41792,-79.995982,15210,Pennsylvania,St. Paul African Methodist Episcopal Church,,published,
school-garden,Laura.Micco@environmentalcharterschool.org,,,,http://www.environmentalcharterschool.org,"",309 South Braddock,Pittsburgh,US,309 South Braddock  Pittsburgh PA 15221,40.444922,-79.895715,15221,Pennsylvania,The Environmental Charter Lower School Edible Schoolyard,,published,Laura Micco
school-garden,Laura.Micco@environmentalcharterschool.org,,,,http://www.environmentalcharterschool.org,"",829 Milton Street,Pittsburgh,US,829 Milton Street  Pittsburgh PA 15218,40.436015,-79.89694,15218,Pennsylvania,The Environmental Charter Upper School Living Laboratory,,published,Laura Micco
school-garden,,,,,,"",709 N Aiken Ave,Pittsburgh,US,709 N Aiken Ave  Pittsburgh PA 15206,40.472894,-79.932793,15206,Pennsylvania,The Neighborhood Academy,,published,
school-garden,molly@growpittsburgh.org,,,,,"",327 N Negley Ave,Pittsburgh,US,327 N Negley Ave  Pittsburgh PA 15206,40.466733,-79.929864,15206,Pennsylvania,Urban League Charter School,,published,Molly McHolme
school-garden,,,,,,"",201 S Winebiddle St,Pittsburgh,US,201 S Winebiddle St  Pittsburgh PA 15224,40.463958,-79.942294,15224,Pennsylvania,Waldorf School of Pittsburgh,,published,
school-garden,,,,,,"",42 Wabash Street,Pittsburgh,US,42 Wabash Street  Pittsburgh PA 15220,40.440192,-80.03457,15220,Pennsylvania,West End Children's Center,,published,
commercial-urban-farm;grow-pittsburgh-site,hanna@growpittsburgh.org,,,,https://www.growpittsburgh.org/about-us/locations/frick-greenhouse/,"",7227 Thomas Blvd,Pittsburgh,US,7227 Thomas Blvd Pittsburgh PA 15208,40.450512,-79.898805,15208,Pennsylvania,Shiloh Farm,,published,Hanna Mosca
commercial-urban-farm,garfieldcommunityfarm@gmail.com,,,(412) 215 6398,http://www.garfieldfarm.com/,"",Cornwall St & Wicklow St,Pittsburgh,US,Cornwall St & Wicklow St Pittsburgh PA 15224,40.46941,-79.934616,15224,Pennsylvania,Garfield Community Farm,,published,John Creasy
community-garden,EastFieldGarden@gmail.com,,,412.365.5716,https://www.facebook.com/groups/EastFieldGarden,"",5543 Black Street,Pittsburgh,US,5543 Black Street  Pittsburgh PA 15206,40.469404,-79.928441,15206,Pennsylvania,East Field Cooperative Garden,,published,Garden Organizer
community-garden,lbucaro01@gmail.com,,,4126575969,,"",706 Lorenz Ave,Pittsburgh,US,706 Lorenz Ave  Pittsburgh PA 15220,40.44501,-80.039497,15220,Pennsylvania,Elliott Community Garden,,published,Lauren Bucaro
community-garden,rdmalcolm2@hotmail.com,,,412 323 8288,,"",13 Carrie Street,Pittsburgh,US,13 Carrie Street Pittsburgh PA 15212,40.461294,-80.002021,15212,Pennsylvania,Fineview Community Garden,,published,Diann Malcolm
school-garden,southoaklandpgh@gmail.com,,,N/A,http://southoaklandpgh.org/,"",3638 Frazier Street,Pittsburgh,US,3638 Frazier Street  Pittsburgh PA 15213,40.429735,-79.954579,15213,Pennsylvania,Frazier Farms Community Garden,,published,South Oakland Neighborhood Group
community-garden,tomquig@verizon.net,,,412 486 3831,,"",9 Short Alley,Pittsburgh,US,9 Short Alley  Pittsburgh PA 15223,40.496077,-79.945871,15223,Pennsylvania,Garden of Etna,,published,Tom Quigley
community-garden,hodnettg3@gmail.com,,,412 613 4663,https://groundedpgh.org/projects/garden-on-gearing/,"",409-411Gearing Avenue,Pittsburgh,US,409-411Gearing Avenue Pittsburgh PA 15210,40.418085,-80.00523,15210,Pennsylvania,Garden On Gearing,,published,Gordon Hodnett
community-garden,berkfam09@gmail.com,,,4128246991,,"",Glenn Avenue & Swissvale Avenue,Pittsburgh,US,Glenn Avenue & Swissvale Avenue Wilkinsburg PA,40.444612,-79.875885,15221,Pennsylvania,Grace & Fruit Pollinator Gardens and Orchard,,published,Lynette Bloedow (temporarily until a formal committee is convened)
community-garden,feedthepeople@googlegroups.com,,,412 378 3823,http://www.phcapgh.org/,"",331 Harmar Street,Pittsburgh,US,331 Harmar Street  PA,40.457406,-79.967969,15219,Pennsylvania,Harmar Street Community Garden,,published,Google Group: https://groups.google.com/d/forum/feedthepeople
community-garden,communitygardens@pittsburghpa.gov,,,412-255-8850,,"",Stanton Avenue,Pittsburgh,US,"Stanton Avenue, Pittsburgh, Pennsylvania 15206",40.472064,-79.913673,15206,Pennsylvania,Highland Park Community Gardens,,published,"City of Pittsburgh, Department of Public Works"
community-garden,lydiakateyoder@gmail.com,,,(412) 545-3050,,"",5409 Kincaid Street,Pittsburgh,US,5409 Kincaid Street  Pittsburgh PA,40.466375,-79.934859,15206,Pennsylvania,Kincaid Street Community Garden,,published,Lydia Yoder
community-garden,fzeman9785@aol.com,,,412 678 1340,http://www.mckha.org/programs/mckeesport-community-garden/,"",2801 Jenny Lind Street,McKeesport,US,2801 Jenny Lind Street  McKeesport PA 15132,40.339138,-79.844107,15132,Pennsylvania,Kiwanis Community Garden,,published,Frank L. Zeman
community-garden,info@kingsleyassocation.org,,,(412) 661 8751,,"",300 Larimer Avenue,Pittsburgh,US,300 Larimer Avenue  Pittsburgh PA 15206,40.46432,-79.91601,15206,Pennsylvania,Larimer Community Garden,,published,Kingsley Association
community-garden,lawrencevillecommunitygarden@gmail.com,,,,,"",4200 Sherrod Street,Pittsburgh,US,4200 Sherrod Street Pittsburgh PA,40.467567,-79.956557,15201,Pennsylvania,Lawrenceville Community Gardens,,published,"Aggie Hanczewski, Garden Coordinator"
community-farm;community-garden,communitygardens@pittsburghpa.gov,,,412-255-8850,,"",219 Kirkpatrick Street,Pittsburgh,US,"219 Kirkpatrick Street, Pittsburgh, Pennsylvania 15219, USA",40.440128,-79.973628,15219,Pennsylvania,Martin Luther King Jr. Community Garden,,published,"City of Pittsburgh, Department of Public Works"
community-garden,communitygardens@pittsburghpa.gov,,,412-255-8850,,"",1118 Chislett Street,Pittsburgh,US,"1118 Chislett Street, Pittsburgh, Pennsylvania 15206, USA",40.477202,-79.92881,15206,Pennsylvania,Morningside Community Garden,,published,"City of Pittsburgh, Department of Public Works"
community-garden,,,,412 668 3197,,"",Transverse Park,Mount Oliver,US,Transverse Park  PA,40.406719,-79.984659,15210,Pennsylvania,Mt. Oliver Borough Community Garden,,published,Rick Hopkinson
community-garden,hello@pennhillsgarden.org,,,,https://www.PennHillsGarden.org,"",1162 Jefferson Road,Penn Hills,US,1162 Jefferson Road  Penn Hills PA 15235,40.447638,-79.798817,15235,Pennsylvania,Penn Hills Community Garden,,published,Kristin Hauman
community-garden,raqueenp@gmail.com,,,412 377 9926,,"",2205 5th Avenue,Pittsburgh,US,2205 5th Avenue  Pittsburgh PA,40.438247,-79.973943,15219,Pennsylvania,The Harry Orlando Memorial Community Garden,,published,Raqueeb Bey
community-garden,gardenseacreature@gmail.com,,,,https://www.facebook.com/octopusgardenpittsburgh/,"",133 South Aiken Avenue,Pittsburgh,US,"133 South Aiken Avenue, Pittsburgh, PA, USA",40.463591,-79.936771,15206,Pennsylvania,The Octopus Garden,,published,Kristin Hughes
community-garden,eagles864@gmail.com,,,412.862.9925,http://www.uptownpartners.org/community_programs/tustin-st-community-garden/,"",2021 Tustin Street,Pittsburgh,US,2021 Tustin Street  Pittsburgh PA 15219,40.436569,-79.977099,15219,Pennsylvania,Tustin Street Community Garden,,published,Chris
school-garden,srosst2@gmail.com,,414.803.5409,414.803.5409,,"Osborne Elementary's Outdoor Classroom and gARTen provides a space to explore, discover and wonder as well as an installation space for student art and creations. Grades kindergarten through fifth plan, plant, taste, harvest &amp; maintain the eight gardens. Enrichment is overseen by parent and community volunteers along with teachers.",1414 Beaver Street,Sewickley,US,"1414 Beaver Street, Sewickley, PA, United States",40.530559,-80.1686,15143,Pennsylvania,Osborne Elementary Outdoor Classroom and gARTen,,published,Stephanie Ross-Tomey
school-garden,degc422@gmail.com,,,,,"",3200 Annapolis Avenue,Pittsburgh,US,"3200 Annapolis Avenue, Pittsburgh, PA, United States",40.394718,-80.043794,15216,Pennsylvania,Dormont Elementary Garden,,published,Vita Porobil
,jerry@impactredevelopment.com,,4128493434,4128493434,,,718 North Avenue,Pittsburgh,US,"718 North Avenue, Wilkinsburg, PA 15221, United States",40.444754,-79.883043,15221,Pennsylvania,North Avenue Bird Habitat & Pollination Garden,,published,Jerry Gaudi
community-garden,sjaoffice@comcast.net,412.835.1764,,412.833.2400,https://mystjoan.org,"The Saint Joan of Arc church garden is a 10,000 square foot garden, that produces fresh vegetables for several food pantries in the South Hills of Pittsburgh. It is serviced by numerous parish volunteers who work the garden two evenings a week during the growing season. Significant support for the garden is maintained by the church pastor, several businesses in the area, and, with help from Grow Pittsburgh.",6454 Library Road,South Park Township,US,"6414 Montour Street, South Park Township, PA 15129, United States",40.287464,-80.026439,15129,Pennsylvania,Saint Joan of Arc Church Community Garden,,published,"Sharon Gomber, parish office coordinator"
community-garden,,,,4122718414,,"A garden started by a few people who care deeply about Wilkinsburg. Stone Soup was created to make a peaceful space that people can gather, work and be together in.",1229 Franklin Avenue,Pittsburgh,US,"1229 Franklin Avenue, Pittsburgh, PA, United States",40.438237,-79.875904,15221,Pennsylvania,Stone Soup Community Garden,,published,Michael Drohan
community-farm,foodcitypgh@gmail.com,,,,http://www.facebook.com/foodcitypgh,"Food City Community Garden is an established community garden in the East Deutschtown neighborhood of Pittsburgh's North Side. The garden is home to about 30 garden beds that are rented by individual gardeners each summer. Most of our gardeners are local residents, but we gladly accept gardeners from other Pittsburgh neighborhoods.",849 Tripoli Street,Pittsburgh,US,"849 Tripoli Street, Pittsburgh, PA, United States",40.45675,-79.99582,15212,Pennsylvania,Food City Community Garden,,published,Madison Nestor
community-garden;school-garden,info@enrightpark.org,,4125129249,,https://www.facebook.com/enrightgarden/,"",214 South Saint Clair Street,Pittsburgh,US,"Topaz Street, Pittsburgh, PA, USA",40.461166,-79.929837,15206,Pennsylvania,Enright Community Garden,,published,Jen DeFoe
community-farm,ellie.amityharvest@yahoo.com,,,,https://www.facebook.com/AmityHarvestCommunityGarden/,"<div class=""_3-8w"">Amity Harvest Community Garden was established through the Allegheny Grows Program to bring people together with fresh food, ideas, and information in Homestead and surrounding communities. HERE WE GROW!</div>",609 Amity Street,Homestead,US,"609 Amity Street, Homestead, PA, USA",40.40783,-79.911485,15120,Pennsylvania,Amity Harvest Community Garden,,published,Ellie Valentine
community-garden;community-farm,gardensofmillvale@gmail.com,,,412-584-1665,https://www.facebook.com/The-Gardens-of-Millvale/,"",12 Butler Street,Pittsburgh,US,"12 Butler St, Pittsburgh, PA, USA 15209",40.479221,-79.973279,15209,Pennsylvania,Gardens of Millvale,,published,Denise
community-garden;school-garden,nracine@andrew.cmu.edu,,,,https://cmusustainability.weebly.com/winthrop-comunity-garden.html,"The Winthrop Community Garden was a student-led project that asked for the administration to involve student in urban gardening and food issues. Located in Winthrop St, right off Craigs St, the urban garden was a project that grew momentum out of Sustainable Earth and Emerging Leaders. With the help of the neighborhood and environmental leaders on campus, we have been able to plan the garden from the start. We built raised beds, designed the layout, planted an array of crops, and have taken care of its upkeep.  Currently, the garden is dashing with grown herbs and plants and keeps us occupied in many Garden Workdays",4636 Winthrop Street,Pittsburgh,US,"4636 Winthrop St, Pittsburgh, PA, USA",40.445755,-79.947281,15213,Pennsylvania,Winthrop Street Community Garden,,published,Nicole Racine
community-garden,jeanchange@hotmail.com,,,412-805-0584,,"The Mulford Community Teaching Garden (MCTG) has been operating since 2008 with a supportive volunteer base. It is a community flower and vegetable garden located on Mulford and Hale streets in Homewood. It is designed to remove the blight and discomfort of vacant lots. It is a place to educate residents on growing food in their own backyards, offer service learning projects to students, and build meaningful partnerships. Goals and vision focus on community outreach, development, and pride.",337 Hale Street,Pittsburgh,US,"337 Hale Street, Pittsburgh, PA, USA",40.451904,-79.887827,15208,Pennsylvania,Mulford Community Teaching Garden,,published,Rhonda J. Sears
community-farm,pittsburghurbangardens@gmail.com,,,,http://pittsburghurbangardens.com,We are trying to make Pittsburgh a healthier and more sustainable city by teaching people how to grow and harvest their own food.,1612 Steuben Street,Pittsburgh,US,"1612 Steuben Street, Pittsburgh, PA, USA",40.443894,-80.05627,15205,Pennsylvania,Pittsburgh Urban Gardening Project,,published,Brett Wilps
school-garden,,,,,,School vegetable garden managed by staff and students.  Raised beds were hand built by the student body.,1900 Clairton Road,West Mifflin,US,"1900 Clairton Road, West Mifflin, PA, USA",40.334422,-79.934775,15122,Pennsylvania,Cornerstone Prep Courtyard Garden,,published,
community-garden,,,,412-414-1512,,"<span style=""font-weight: 400;"">Starting in 2012, the Clairton community worked hard to convert an abandoned lot into a combination of individual raised beds and an in-ground community growing section. A berm was constructed to help with erosion control, native pollinator gardens have been planted to attract pollinating insects, and a deer fence was installed around the perimeter of the lot to keep out unwanted pests. The garden has since yielded an abundance of tomatoes, squash, lettuce, cucumbers, greens, and more that is shared amongst neighbors.</span>",300 Saint Clair Avenue,Clairton,US,"300 St Clair Ave, Clairton, PA, USA",40.29203,-79.882047,15025,Pennsylvania,Clairton CommUNITY Garden,,published,Toni Schley
community-garden,bhenninger@shimcares.org,,,,http://www.shimcares.org,,4935 East Willock Road,Pittsburgh,US,"4935 East Willock Road, Pittsburgh, PA, USA",40.358027,-79.967387,15227,Pennsylvania,Whitehall Peace and Community Garden,,published,Becky Henninger
community-garden,tarentumgarden@gmail.com,,,,https://www.facebook.com/TarentumFriendshipGarden/,"The Greg Blythe Friendship Garden in Tarentum, named in memory of one of the founders, Pastor Greg Blythe, is a community garden that is open to all. The garden is planned, maintained and planted by local volunteers. All of the vegetables and fruits are available to the community in a ""come pick"" model. Anyone is welcome to come and pick any of the fruits or vegetables from the garden and to help in the planning, upkeep and maintenance of the garden. In essence we are a small ""pick your own"" garden that is open to the community.",700 East 1st Avenue,Tarentum,US,"700 E 1st Ave, Tarentum, PA 15084, USA",40.602387,-79.745117,15084,Pennsylvania,Greg Blythe Friendship Garden in Tarentum,,published,
community-garden,,,,,https://hamnettgarden.wordpress.com,"",502 Jeanette Street,Pittsburgh,US,"502 Jeanette St, Wilkinsburg, PA 15221",40.438734,-79.884733,15221,Pennsylvania,Hamnett Place Community Garden,,published,Klara Brown
community-garden,McCandlessgarden@gmail.com,,,,https://www.facebook.com/groups/lvgarden/,"",117 McCandless Avenue,Pittsburgh,US,"McCandless Ave. & Natrona Way, Pittsburgh, PA 15201",40.480798,-79.952311,15201,Pennsylvania,Lawrenceville Organic Community Garden: McCandless,,published,
community-farm,locgvolunteer@gmail.com,,,,https://www.facebook.com/groups/lvgarden/about/,"Our mission is to promote urban food production and community building. The Lawrenceville Organic Community Garden will provide a forum to connect with neighbors and share our cumulative knowledge on plants and food. Together we will create an accessible space that operates on principles of inclusion and respect for each other and the environment. Come get involved; everyone is welcome! We're located in the corner at Butler St. and Stanton Ave in the Allegheny Cemetery. Come in the main entry, walk past the brick admin buildings and look for our bright blue garden shed. At the end of the work day, gardeners are invited to harvest fresh vegetables, fruits and herbs to take home. Garden Work Days (weather permitting): Cemetery Garden (enter via gate on Butler Street, towards McCandless, by bus stop) •Tues. 6:00 p.m. - 7:00 p.m. •Sat.10 a.m. - 12:30 p.m.",1148 Stanton Avenue,Pittsburgh,US,"Stanton Ave at Butler St FS, Pittsburgh, PA, USA",40.478175,-79.955595,15224,Pennsylvania,Lawrenceville Organic Community Garden: Allegheny Cemetery,,published,
